"filename", "language", "JavaScript", "Markdown", "vue", "JSON", "XML", "HTML", "JSON with Comments", "CSS", "Properties", "comment", "blank", "total"
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFiles.vue", "vue", 0, 0, 161, 0, 0, 0, 0, 0, 0, 1, 6, 168
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFirst.vue", "vue", 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 5, 218
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFirst2.vue", "vue", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 7, 238
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFirstReport.vue", "vue", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 3, 174
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentSec.vue", "vue", 0, 0, 433, 0, 0, 0, 0, 0, 0, 0, 6, 439
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalAddTimezone.vue", "vue", 0, 0, 139, 0, 0, 0, 0, 0, 0, 9, 4, 152
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalAddUser.vue", "vue", 0, 0, 379, 0, 0, 0, 0, 0, 0, 9, 5, 393
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalBase.vue", "vue", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 4, 109
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalCounter.vue", "vue", 0, 0, 828, 0, 0, 0, 0, 0, 0, 24, 7, 859
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalEModel.vue", "vue", 0, 0, 633, 0, 0, 0, 0, 0, 0, 9, 1, 643
"c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalEModelReport.vue", "vue", 0, 0, 219, 0, 0, 0, 0, 0, 0, 9, 0, 228
